gene,cluster,avg_log2FC,p_val_adj
Igdcc3,0,3.9498348,0.0
Lix1,0,3.024266,0.0
Gpc5,0,3.2858903,0.0
Hoxd9,0,3.0309756,0.0
Scube1,0,2.5665493,0.0
Prtg,0,2.8116539,0.0
Lhx9,0,2.4944637,0.0
Hoxd3,0,2.5112507,0.0
Lin28b,0,2.5652387,0.0
Fndc3c1,0,2.5146606,0.0
Dusp9,0,2.4152815,0.0
Acvr2b,0,1.7947357,0.0
Fign,0,1.9171534,0.0
Ddx39a,0,1.8370523,0.0
a,0,2.350209,0.0
Cpa2,0,2.9034085,0.0
2610318N02Rik,0,1.6426201,0.0
Cdc20,0,1.7560763,0.0
Tpx2,0,1.5746949,0.0
Ccnb1,0,1.7331434,0.0
Lhx2,0,2.2053328,0.0
Mogat2,0,3.3226,0.0
Kpna2,0,1.6387821,0.0
Epop,0,1.9921954,0.0
Mthfd2,0,1.6562719,0.0
Rps6ka6,0,1.952795,0.0
Mycn,0,2.1419313,0.0
Msx1,0,1.7880598,0.0
Zbtb16,0,3.1581118,0.0
Prex2,0,1.5703447,0.0
Car14,0,2.0926266,0.0
Frzb,0,2.564506,0.0
Ruvbl2,0,1.5488523,0.0
Uck2,0,1.4793645,0.0
Mcm5,0,1.4646372,0.0
Dhfr,0,1.4931108,0.0
Il17rd,0,1.5059239,0.0
Dusp6,0,1.7394296,0.0
Cenpe,0,1.3854831,0.0
Hsph1,0,1.5800301,0.0
Fen1,0,1.6402249,0.0
Hoxa7,0,2.059692,0.0
Vars1,0,1.4853117,0.0
Rcor2,0,1.6401236,0.0
A430005L14Rik,0,1.4684579,0.0
Ccne1,0,1.4511886,0.0
Rrm1,0,1.3844435,0.0
Prps1,0,1.6768098,0.0
Rcc1,0,1.6381017,0.0
Kif15,0,1.369608,0.0
Ruvbl1,0,1.4218676,0.0
Stk39,0,1.4429456,0.0
Aurka,0,1.7449982,0.0
Chaf1a,0,1.4339573,0.0
Tk1,0,1.3757496,0.0
Clspn,0,1.4592355,0.0
Metrn,0,1.7501011,0.0
Incenp,0,1.5520818,0.0
Mad2l1,0,1.600401,0.0
Nsun2,0,1.3852541,0.0
Rrp1b,0,1.4573969,0.0
Cenph,0,1.4466523,0.0
Mcm3,0,1.3806849,0.0
Hoxd10,0,1.5561352,0.0
Pimreg,0,1.4349238,0.0
Kif22,0,1.5900557,0.0
Umps,0,1.5159302,0.0
E2f5,0,1.4826225,0.0
Smn1,0,1.331961,0.0
Nmral1,0,1.374533,0.0
Bcat1,0,1.9791387,0.0
Lmo1,0,2.109461,0.0
Plk1,0,1.772308,0.0
Tacc3,0,1.2972333,0.0
Lmx1b,0,1.7251171,0.0
Emb,0,1.9052056,0.0
Mybbp1a,0,1.4372315,0.0
Dctd,0,1.3855823,0.0
Trim59,0,1.2326757,0.0
Shox2,0,1.334529,0.0
Mtap,0,1.2747848,0.0
Fbxo5,0,1.4540275,0.0
Aif1l,0,1.5044972,0.0
Rad51,0,1.4296236,0.0
Dbf4,0,1.2968781,0.0
Sap30,0,1.2501931,0.0
Gm38462,0,2.4684875,0.0
Cdca2,0,1.3657001,0.0
Prmt5,0,1.3106678,0.0
Mcm2,0,1.2891902,0.0
Bub1,0,1.5367061,0.0
Pbk,0,1.4321731,0.0
Cecr2,0,1.6489084,0.0
Ncapd2,0,1.1507359,0.0
Fgf10,0,1.5267074,0.0
Ect2,0,1.3640875,0.0
Gpatch4,0,1.3081305,0.0
Tubg1,0,1.3103828,0.0
Ppp1r8,0,1.3054793,0.0
Rfc5,0,1.358618,0.0
Psat1,0,1.2172859,0.0
Wdr77,0,1.3016118,0.0
Hba-x,0,1.7395247,0.0
Mis18bp1,0,1.259151,0.0
Ccdc86,0,1.4826307,0.0
Suv39h2,0,1.5210068,0.0
Grwd1,0,1.6497569,0.0
Arid3a,0,1.6206115,0.0
Nup43,0,1.2445918,0.0
Tcof1,0,1.1836092,0.0
Abcf2,0,1.2406923,0.0
Mns1,0,1.715458,0.0
Ash2l,0,1.1829323,0.0
Hoxd4,0,2.3150377,0.0
Sall4,0,2.9920335,0.0
Pno1,0,1.185974,0.0
Hbb-bh1,0,2.0196717,0.0
Ppp2r1b,0,1.4802732,0.0
Nup62,0,1.1482375,0.0
Prpf31,0,1.2575141,0.0
Dus1l,0,1.3155311,0.0
Dnaaf2,0,1.1982538,0.0
Exo1,0,1.6354113,0.0
Prom1,0,1.2823042,0.0
Ddx27,0,1.2212129,0.0
Knstrn,0,1.0830425,0.0
Pim1,0,1.3664628,0.0
Ccnb2,0,1.0310385,0.0
Sf3a2,0,1.1922598,0.0
Imp4,0,1.2119892,0.0
Pum3,0,1.2972686,0.0
Tnfaip6,0,1.2345303,0.0
Gtf2f2,0,1.1556165,0.0
Sall3,0,3.0573587,0.0
Etv4,0,1.6397414,0.0
Atad3a,0,1.2687604,0.0
Psmc3ip,0,1.2291567,0.0
Msi1,0,1.3205782,0.0
Wdr74,0,1.2919954,0.0
Kif20b,0,1.3362077,0.0
Bahcc1,0,1.2136011,0.0
Wdr12,0,1.1941997,0.0
Blm,0,1.2438586,0.0
Cdc25a,0,1.203348,0.0
Rpf2,0,1.248881,0.0
Kif2c,0,1.5568217,0.0
Dixdc1,0,1.3003728,0.0
Bub1b,0,1.4296843,0.0
Trmt6,0,1.0896245,0.0
Nubp1,0,1.1083971,0.0
Kif20a,0,1.5755814,0.0
Atic,0,1.2606654,0.0
Mrpl37,0,1.2273712,0.0
Rrp9,0,1.475053,0.0
Cdc25c,0,1.3232932,0.0
Vrk1,0,1.1725142,0.0
9430024E24Rik,0,2.0003586,0.0
Lap3,0,1.1704842,0.0
Zic2,0,2.1980197,0.0
Mis18a,0,1.0496074,0.0
Obi1,0,1.1460745,0.0
Pfkl,0,1.147916,0.0
Ppfibp2,0,1.341009,0.0
Ppif,0,1.3112736,0.0
Bud23,0,1.1143565,0.0
Usp39,0,1.3140134,0.0
Cdca4,0,1.061015,0.0
Kif11,0,1.141906,0.0
Ftsj3,0,1.4137617,0.0
Slc25a13,0,1.0424339,0.0
Rpp30,0,1.1183463,0.0
Hprt1,0,1.1606895,0.0
Nup37,0,1.2239087,0.0
Aimp2,0,1.2438816,0.0
Thop1,0,1.3912517,0.0
Exosc7,0,1.0944849,0.0
Dnttip2,0,1.13551,0.0
Ppp5c,0,1.0995492,0.0
Asf1b,0,1.3415557,0.0
Ets2,0,1.1354584,0.0
H1f5,0,1.5225179,0.0
Aurkb,0,1.2527192,0.0
Gcat,0,1.2877308,0.0
Dnajc11,0,1.0847554,0.0
Styxl1,0,3.2645574,0.0
Cdca5,0,1.6912799,0.0
Pkdcc,0,1.645112,0.0
Hmmr,0,1.2773463,0.0
Ubqln2,0,1.1008002,0.0
Cenps,0,1.1979661,0.0
Rbm22,0,1.0465983,0.0
Gpn1,0,1.2603154,0.0
Peg10,0,1.2723731,0.0
Shmt1,0,1.5863695,0.0
Mphosph6,0,1.1061773,0.0
Mcm10,0,1.7336475,0.0
Mrps18b,0,1.171116,0.0
Tcf7,0,1.6939775,0.0
Baz1a,0,1.0736576,0.0
Eme1,0,1.6109763,0.0
Asns,0,1.6700702,0.0
Spr,0,1.0542712,0.0
Gart,0,1.1150529,0.0
Cep57,0,1.0034275,0.0
Ednra,0,1.0343577,0.0
Trip13,0,1.2764816,0.0
Dnph1,0,1.3812109,0.0
Alx3,0,1.960118,0.0
Utp18,0,1.1920149,0.0
Pycr2,0,1.0629505,0.0
Rad51ap1,0,1.2734106,0.0
Melk,0,1.412002,0.0
Ccnjl,0,1.0928024,0.0
Glul,0,1.0224416,0.0
Cenpn,0,1.1568642,0.0
Pfas,0,1.0582923,0.0
Plk4,0,1.1130856,0.0
Ppie,0,1.0661167,0.0
Vegfd,0,1.8649342,0.0
Ttk,0,1.2827829,0.0
Cdt1,0,1.1394029,0.0
Meis1,0,1.0299668,0.0
Usp10,0,1.0583553,0.0
Trim71,0,2.2307975,0.0
Psrc1,0,1.3248029,0.0
Bop1,0,1.349081,0.0
Aen,0,1.1865611,0.0
Prc1,0,1.0595788,0.0
Ung,0,1.258222,0.0
Nkain1,0,1.1566015,0.0
Ints15,0,1.2332897,0.0
Pdxp,0,1.1823734,0.0
Eif2b5,0,1.0929902,0.0
Pycr3,0,1.0070114,0.0
Prpf4,0,1.1781956,0.0
Dera,0,1.1941983,0.0
Exosc5,0,1.0812109,0.0
Rnaseh2a,0,1.1511811,0.0
Pop4,0,1.0338366,0.0
Ppat,0,1.4744083,0.0
Aunip,0,1.6574318,0.0
Med19,0,1.0203215,0.0
Pelp1,0,1.2229598,0.0
Rbm14,0,1.2305949,0.0
Hoxd8,0,1.914616,0.0
Rcl1,0,1.1278443,0.0
Tma16,0,1.1635915,0.0
Nkd1,0,1.0392833,0.0
Cep78,0,1.0733311,0.0
Tex30,0,1.0573,0.0
Farsa,0,1.069068,0.0
Jaml,0,4.3924685,0.0
Lbr,0,1.0319991,0.0
Ppp1r7,0,1.1381618,0.0
Gins4,0,1.0121158,0.0
Mdn1,0,1.0304357,0.0
Mrpl46,0,1.1363441,0.0
Znhit3,0,1.135265,0.0
Pphln1,0,1.0115654,0.0
Rars1,0,1.2034141,0.0
Pold2,0,1.0469456,0.0
Ppan,0,1.1228065,0.0
Siah1b,0,1.4642067,0.0
Tmem97,0,1.1676751,0.0
Shmt2,0,1.3593154,0.0
Cenpq,0,1.0806684,0.0
Drosha,0,1.0178902,0.0
Prmt7,0,1.0864447,0.0
Wdr55,0,1.4494781,0.0
Mphosph10,0,1.1432158,0.0
Cinp,0,1.1146445,0.0
Nuf2,0,1.3681436,0.0
Isy1,0,1.0188768,0.0
Kif5c,0,1.1834497,0.0
Pold3,0,1.080187,0.0
Rpf1,0,1.0670822,0.0
Dpp3,0,1.0346733,0.0
Nup50,0,1.0218582,0.0
Hoxa11,0,1.6938998,0.0
Rad54l,0,1.3771703,0.0
Pde3b,0,1.1514325,0.0
Gnpnat1,0,1.0733657,0.0
Noc2l,0,1.0760703,0.0
Mrps30,0,1.068736,0.0
Spag5,0,1.3373033,0.0
Ccnf,0,1.3030638,0.0
Ddx56,0,1.196604,0.0
Fignl2,0,2.3642602,0.0
Kifc1,0,1.2384965,0.0
Wars1,0,1.1660272,0.0
Grhpr,0,1.2228831,0.0
Zc3hc1,0,1.0893254,0.0
Psmg1,0,1.0933913,0.0
Prkrip1,0,1.0234278,0.0
Eif2b1,0,1.0641093,0.0
Ska1,0,1.2436235,0.0
Tdp2,0,1.0026753,0.0
Cbx2,0,1.1995863,0.0
Crmp1,0,2.1541774,0.0
Irx3,0,1.8001715,0.0
Bmp4,0,1.1712592,0.0
Por,0,1.0579733,0.0
Chaf1b,0,1.2089139,0.0
Cd320,0,1.0812622,0.0
Mtx1,0,1.0108786,0.0
Acads,0,1.1155,0.0
Nif3l1,0,1.3926344,0.0
Pgd,0,1.0169722,0.0
Rasl11a,0,1.7994533,0.0
Rspo4,0,4.059595,0.0
Kti12,0,1.0178293,0.0
Dck,0,1.1661538,0.0
Nop9,0,1.1429197,0.0
Mthfd1l,0,1.2219166,0.0
Ptcd3,0,1.0785387,0.0
Rnmt,0,1.1327723,0.0
Wasf1,0,1.0723797,0.0
Adissp,0,1.1128829,0.0
Brms1,0,1.1503433,0.0
Nacc1,0,1.0153491,0.0
Hoxa5,0,1.5116999,0.0
Mrps22,0,1.2475958,0.0
Timeless,0,1.1313336,0.0
Prep,0,1.1462952,0.0
Snai1,0,1.2763116,0.0
Gemin6,0,1.1273136,0.0
Ncbp1,0,1.0707614,0.0
Rpl6l,0,1.0653002,0.0
Sgo1,0,1.0240244,0.0
Hsd11b2,0,1.6426457,0.0
Polr2b,0,1.0990856,0.0
Cdca7l,0,1.2065729,0.0
Hgf,0,2.2423003,0.0
Sart3,0,1.1305459,0.0
Gm39529,0,1.3497496,0.0
Ncapg,0,1.3167924,0.0
Greb1,0,1.7275033,0.0
Wdr46,0,1.3299806,0.0
Ndc1,0,1.1235714,0.0
Tbl3,0,1.0891143,0.0
Nop14,0,1.0119501,0.0
Surf2,0,1.2124823,0.0
Ckap2l,0,1.0707961,0.0
Ninl,0,1.590742,0.0
Sart1,0,1.0063012,0.0
Tmem199,0,1.3065013,0.0
Inip,0,1.0362811,0.0
Galnt7,0,1.0051156,0.0
Zbtb12,0,1.0075833,0.0
Eno3,0,1.2307668,0.0
Nol8,0,1.2574098,0.0
Exosc2,0,1.0892153,0.0
Tbrg4,0,1.3310852,0.0
Thumpd1,0,1.0122234,0.0
Lrrc47,0,1.0956888,0.0
